true_class,predicted_class,count,stage_distance,clinical_severity_bucket
Mild,Moderate,30,1,Adjacent-stage (minor)
Proliferative_DR,Moderate,16,2,Far-miss (clinically serious)
Moderate,Severe,14,1,Adjacent-stage (minor)
Severe,Moderate,11,1,Adjacent-stage (minor)
Moderate,Mild,11,1,Adjacent-stage (minor)
Proliferative_DR,Severe,8,1,Adjacent-stage (minor)
Mild,No_DR,8,1,Adjacent-stage (minor)
Proliferative_DR,Mild,7,3,Far-miss (clinically serious)
No_DR,Mild,7,1,Adjacent-stage (minor)
Severe,Proliferative_DR,6,1,Adjacent-stage (minor)
Moderate,Proliferative_DR,5,2,Far-miss (clinically serious)
Moderate,No_DR,5,2,Far-miss (clinically serious)
No_DR,Moderate,3,2,Far-miss (clinically serious)
Severe,No_DR,1,3,Far-miss (clinically serious)
Proliferative_DR,No_DR,1,4,Far-miss (clinically serious)
